id,name,guests,bedrooms,beds,bathrooms,description,price,washing_machine,television,air_conditioner,wifi,stove,parking,swimming_pool,electric_iron,location_id,photo
11,"Studio mới, thang máy, Hoàn Kiếm, gần khu phố cổ",2,1,1,1,"Chào mừng bạn đến với Botanicahome! Chúng tôi hân hạnh mời bạn trải nghiệm ngôi nhà của gia đình chúng tôi. Chúng tôi muốn tạo ra một không gian nơi mọi người cảm thấy hoàn toàn thoải mái và như ở nhà. Căn hộ studio nằm trong tòa nhà nhỏ gần khu phố cổ và trung tâm thành phố. Tòa nhà này được xây dựng và được vận hành bởi chính gia đình. Chúng tôi sẽ cố gắng tính toán từng chi tiết, lớn nhỏ để làm bạn hài lòng và mang đến cho bạn một môi trường gọn gàng, sạch sẽ, an toàn, giá cả phải chăng và ấm cúng.",15,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,4,https://airbnbnew.cybersoft.edu.vn/images/phong11.png
12,"Studio mới, thang máy, Hoàn Kiếm, gần khu phố cổ",2,1,1,1,"Chào mừng bạn đến với Botanicahome! Chúng tôi hân hạnh mời bạn trải nghiệm ngôi nhà của gia đình chúng tôi. Chúng tôi muốn tạo ra một không gian nơi mọi người cảm thấy hoàn toàn thoải mái và như ở nhà. Căn hộ studio nằm trong tòa nhà nhỏ gần khu phố cổ và trung tâm thành phố. Tòa nhà này được xây dựng và được vận hành bởi chính gia đình. Chúng tôi sẽ cố gắng tính toán từng chi tiết, lớn nhỏ để làm bạn hài lòng và mang đến cho bạn một môi trường gọn gàng, sạch sẽ, an toàn, giá cả phải chăng và ấm cúng.",18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,https://airbnbnew.cybersoft.edu.vn/images/phong12.png
13,Fisherman homestay (phòng 2 người - B),2,1,1,1,"Feel free and make yourself at home

Đây là nơi để bạn trốn đi những ồn ào, tấp nập của công việc. Nơi bạn có thể tận hưởng cảm giác bình yên, nhẹ nhàng, đón những cơn gió và ngửi được vị mặn của bỉển nhưng vẫn không mang cảm giác xa lạ. Một nơi thân thuộc như chính ngôi nhà của bạn.",15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,https://airbnbnew.cybersoft.edu.vn/images/phong13.png
14,ách nhau 2 phòng ngủ tại thị trấn Dương Đông,8,2,3,3,"Chào mừng bạn đến với The Yard - nơi cách trung tâm quần đảo Phú Quốc vài bước chân.

Nằm trong khu phố với Thị trấn Dương Đông, Chợ đêm Phú Quốc, Bãi Dài, Chùa,... và được bao quanh bởi nhiều điều địa phương mang bạn đến gần hơn với cuộc sống hàng ngày của công dân đảo.",43,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5,https://airbnbnew.cybersoft.edu.vn/images/phong14.png
15,Fisherman homestay,4,1,2,2,"Feel free and make yourself at home.

Đây là nơi để bạn trốn đi những ồn ào, tấp nập của công việc. Nơi bạn có thể tận hưởng cảm giác bình yên, nhẹ nhàng, đón những cơn gió và ngửi được vị mặn của bỉển nhưng vẫn không mang cảm giác xa lạ. Một nơi thân thuộc như chính ngôi nhà của bạn.",33,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,5,https://airbnbnew.cybersoft.edu.vn/images/phong15.png
16,Studio mới & ấm cúng | Riverside | Bên cạnh Cầu Hàn,2,1,1,1,"Chào mừng bạn đến với Ngôi nhà Đậu thứ ba của tôi ở bên bờ sông Hàn, bên cạnh cầu sông Hàn
studio rộng 25 m2 được trang trí tốt, rộng rãi, rất mới, tươi mới và sạch sẽ.
Vị trí tuyệt vời:
- 3 phút đi bộ đến Cầu Hàn, trung tâm thương mại Vincom...
- 2-3 phút bằng taxi đến cầu Rồng, cầu Tình yêu, Chợ đêm Sontra và bãi biển",13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,https://airbnbnew.cybersoft.edu.vn/images/phong16.png
17,ModernLuxury Studio cách bãi biển 1 phút,2,1,1,1,"Đắm chìm trong vẻ đẹp hiện đại và ấm áp của ngôi nhà mới xây này.
* 3 phút đi bộ đến bãi biển Mỹ Khê
* Không giới hạn Internet siêu tốc độ cao riêng tư/ WIFI và TV internet
* Nhà bếp và máy giặt đầy đủ
tiện nghi * Massage và massage phổ biến cạnh tòa nhà (phiếu giảm giá khi có sẵn)
* Giảm giá 30% cho thời gian ở theo tháng",19,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,6,https://airbnbnew.cybersoft.edu.vn/images/phong17.png
18,Phòng mùa hè,2,1,1,1,Mọi thứ đều trở nên đơn giản tại chỗ ở yên bình và nằm tại vị trí trung tâm này.,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,https://airbnbnew.cybersoft.edu.vn/images/phong18.png
19,Căn hộ hiện đại độc đáo của Scandinavia,2,1,1,1,Nơi ở độc đáo này mang một phong cách rất riêng.,17,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,https://airbnbnew.cybersoft.edu.vn/images/phong19.png
20,Hill Lodge Mũi Né - Ngôi nhà nhỏ gần bãi biển,4,1,1,1,"Đó sẽ là một ý tưởng chớp nhoáng sau khi tôi quyết định nghỉ việc. Tôi chia sẻ với bạn tôi, một kiến trúc sư, sau đó Hill Lodge được tạo ra. Thành phố này nằm trên sườn đồi trong một bãi biển dài, đó là lý do tại sao chúng tôi gọi “Hill Lodge”.

Chỗ ở
Hill Lodge được thiết kế theo phong cách tối giản. Chúng tôi thiết lập một số vật liệu cần thiết trong nhà nghỉ nhỏ. Nó có thể là đủ để sống và ẹnjoy sau một thời gian dài làm việc trong một thành phố bận rộn hoặc chỉ là một chuyến đi.",27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,https://airbnbnew.cybersoft.edu.vn/images/phong20.png
21,Sky Guest House,2,1,1,1,Một số thông tin đã được dịch tự động. ,19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,https://airbnbnew.cybersoft.edu.vn/images/phong21.png
